id,user_id,post_type,status,origin_lat,origin_lng,origin_city,origin_country,dest_city,dest_country,dest_lat,dest_lng,template_key,metadata,contact_phone,contact_whatsapp,contact_email,created_at,updated_at,expires_at,view_count,contact_count
05ce309c-2598-437f-a9f4-bd82b3febf12,2590e03d-5871-482b-9603-db83a9963917,DRIVER_AVAILABLE,active,34.02782358315851,-118.26171901241175,Los Angeles,United States,Portland,United States,45.5152,-122.6784,long_haul,"{""direction"": ""local"", ""truck_type"": ""Van"", ""available_hours"": 56}",,false,lisa.brown75@example.com,2026-01-22T06:41:57.787701,2026-01-22T06:41:57.787701,2026-01-29T06:41:57.787701,29,2
e6064f72-f653-4241-8023-0309a0b3eec1,172db8ec-f79a-4b22-a483-d0038cc66e1e,DRIVER_AVAILABLE,active,34.08485972308629,-118.22761428667239,Los Angeles,United States,Orlando,United States,28.5383,-81.3792,north,"{""direction"": ""north"", ""truck_type"": ""Refrigerated"", ""available_hours"": 10}",,false,emma.wilson97@example.com,2026-01-22T06:41:57.787701,2026-01-22T06:41:57.787701,2026-01-29T06:41:57.787701,17,2
d7834721-6dd1-48a7-bf29-e4dac0a4c4a8,43a31cda-f2dd-4a30-aebe-c50a0661fe18,DRIVER_AVAILABLE,active,34.0756052452517,-118.28041505179013,Los Angeles,United States,Nashville,United States,36.1627,-86.7816,long_haul,"{""direction"": ""east"", ""truck_type"": ""Refrigerated"", ""available_hours"": 66}",,false,robert.taylor86@example.com,2026-01-22T06:41:57.787701,2026-01-22T06:41:57.787701,2026-01-29T06:41:57.787701,71,2
62465632-5f30-464f-9348-477e3d018f1f,02c864ca-93ea-474e-b4a9-eab812a1307c,DRIVER_AVAILABLE,active,34.00260664351825,-118.24397943089537,Los Angeles,United States,Sacramento,United States,38.5816,-121.4944,south,"{""direction"": ""local"", ""truck_type"": ""Van"", ""available_hours"": 20}",,false,john.thomas94@example.com,2026-01-22T06:41:57.787701,2026-01-22T06:41:57.787701,2026-01-29T06:41:57.787701,49,5
d6143e87-9916-4ced-ba33-e15a4f4cf48a,c4b6c24f-3f49-49f2-9d79-152fcc4f7656,DRIVER_AVAILABLE,active,34.029172413475216,-118.22802750753876,Los Angeles,United States,Nashville,United States,36.1627,-86.7816,local,"{""direction"": ""long_haul"", ""truck_type"": ""Flatbed"", ""available_hours"": 65}",,false,robert.wilson90@example.com,2026-01-22T06:41:57.787701,2026-01-22T06:41:57.787701,2026-01-29T06:41:57.787701,14,5
a346251e-595b-46df-876b-341d76de185d,ebc8d872-f31e-45d4-8031-b099af8920dc,DRIVER_AVAILABLE,active,34.09430775564912,-118.27437530045734,Los Angeles,United States,San Antonio,United States,29.4241,-98.4936,north,"{""direction"": ""south"", ""truck_type"": ""20T"", ""available_hours"": 54}",,false,robert.smith65@example.com,2026-01-22T06:41:57.787701,2026-01-22T06:41:57.787701,2026-01-29T06:41:57.787701,48,4
de937320-7e97-4284-9327-eb8f426bb237,75754f61-309a-4f01-b777-cb303664085d,DRIVER_AVAILABLE,active,34.09261705206108,-118.28574986259035,Los Angeles,United States,Boise,United States,43.615,-116.2023,local,"{""direction"": ""local"", ""truck_type"": ""Refrigerated"", ""available_hours"": 66}",,false,mike.brown99@example.com,2026-01-22T06:41:57.787701,2026-01-22T06:41:57.787701,2026-01-29T06:41:57.787701,14,1
220e7519-f404-45cd-ba13-ec308fbd54e1,4715f785-3b5f-4b8f-b504-7d7a2227d1d8,DRIVER_AVAILABLE,active,34.10066564640849,-118.2165657682745,Los Angeles,United States,Stockton,United States,37.9577,-121.2908,south,"{""direction"": ""west"", ""truck_type"": ""20T"", ""available_hours"": 32}",,false,mike.jackson60@example.com,2026-01-22T06:41:57.787701,2026-01-22T06:41:57.787701,2026-01-29T06:41:57.787701,11,2
a5e135c8-e4a2-4045-9c15-aa01501edafe,46c7733c-7d25-4326-b63d-1deabf708de5,DRIVER_AVAILABLE,active,34.02904365225925,-118.27656673313821,Los Angeles,United States,San Jose,United States,37.3382,-121.8863,local,"{""direction"": ""long_haul"", ""truck_type"": ""20T"", ""available_hours"": 43}",,false,robert.johnson63@example.com,2026-01-22T06:41:57.787701,2026-01-22T06:41:57.787701,2026-01-29T06:41:57.789207,100,5
469d87f4-020f-4d32-95d1-2f1d13ac2716,4337c714-0fb6-477a-97c2-bfdeae5a549d,DRIVER_AVAILABLE,active,33.743779520428966,-118.21303558974436,Long Beach,United States,Minneapolis,United States,44.9778,-93.265,local,"{""direction"": ""long_haul"", ""truck_type"": ""Van"", ""available_hours"": 39}",,false,jane.wilson58@example.com,2026-01-22T06:41:57.789207,2026-01-22T06:41:57.789207,2026-01-29T06:41:57.789207,65,5
67f7b9ac-892d-4048-bd18-c8fe5c4a8bf7,ef7e3591-dda3-4d0d-8745-bbb7a06ddd4d,DRIVER_AVAILABLE,active,33.74711854088399,-118.19103632794244,Long Beach,United States,Nashville,United States,36.1627,-86.7816,north,"{""direction"": ""south"", ""truck_type"": ""Refrigerated"", ""available_hours"": 48}",,false,david.johnson44@example.com,2026-01-22T06:41:57.789207,2026-01-22T06:41:57.789207,2026-01-29T06:41:57.789207,87,0
c55919bc-0215-487f-8b82-b6d6fdc32dd9,29a3b269-c84b-4812-b7b3-9cb7ce5d0caf,DRIVER_AVAILABLE,active,33.81975493537257,-118.21679127529771,Long Beach,United States,Tacoma,United States,47.2529,-122.4443,local,"{""direction"": ""long_haul"", ""truck_type"": ""Flatbed"", ""available_hours"": 60}",,false,david.wilson47@example.com,2026-01-22T06:41:57.789207,2026-01-22T06:41:57.789207,2026-01-29T06:41:57.789207,28,1
